full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
       (2022 RX54),2.288,0.1864,1.16,166.26,217.63,1.862,2.72,3.46,26.0,7.0,19,,,20.3
       (2013 CZ256),2.303,0.2055,4.93,84.61,150.53,1.83,2.78,3.5,4168.0,0.0,38,,,18.9
 40034 (1998 KB11),3.107,0.2205,18.04,86.16,86.6,2.422,3.79,5.48,12217.0,0.0,2535,,,13.49
       (2017 HT108),3.186,0.3259,11.72,299.97,85.18,2.148,4.22,5.69,6.0,9.0,22,,,18.93
       (2015 AD135),3.366,0.1917,10.24,108.36,237.6,2.72,4.01,6.17,4800.0,0.0,59,,,16.84
       (2017 WZ32),3.068,0.19,12.81,271.69,276.29,2.485,3.65,5.37,6358.0,0.0,47,,,16.98
600081 (2011 GB100),2.666,0.14,11.7,187.7,45.71,2.293,3.04,4.35,4809.0,0.0,92,,,17.86
       (2022 RO68),2.626,0.2278,2.91,52.1,312.99,2.028,3.22,4.26,6220.0,1.0,35,,,19.14
       (2011 WY175),2.411,0.1394,2.4,79.97,24.9,2.075,2.75,3.74,5521.0,0.0,56,,,19.04
738628 (2016 VK19),2.647,0.2215,12.05,315.81,180.08,2.061,3.23,4.31,6146.0,0.0,101,,,17.14
236166 (2005 UN454),2.336,0.1647,7.34,85.43,355.25,1.951,2.72,3.57,7685.0,0.0,628,,,16.75
322409 (2011 SD51),3.053,0.117,8.0,276.8,18.83,2.696,3.41,5.34,8620.0,0.0,489,,,15.5
513073 (2017 WQ20),2.467,0.1358,1.49,252.15,193.87,2.132,2.8,3.87,5914.0,0.0,97,,,18.2
277510 (2005 WU177),2.735,0.0494,7.11,82.71,263.46,2.6,2.87,4.52,8437.0,0.0,351,,,16.25
273426 (2006 WQ61),2.258,0.1586,0.59,244.23,235.67,1.9,2.62,3.39,8256.0,0.0,262,,,17.98
623668 (2017 DV21),3.136,0.0134,9.85,130.94,94.63,3.093,3.18,5.55,8063.0,0.0,90,,,17.03
158000 (2000 OK33),3.96,0.1404,7.47,225.38,46.17,3.404,4.52,7.88,9245.0,0.0,812,,,14.16
       (2014 HP232),2.385,0.156,2.59,171.8,69.29,2.013,2.76,3.68,33.0,6.0,14,,,19.1
695222 (2015 WH14),2.263,0.2012,7.44,48.56,353.41,1.808,2.72,3.4,6755.0,0.0,161,,,17.93
 37606 (1992 RX4),2.476,0.2488,4.05,151.75,228.08,1.86,3.09,3.9,11391.0,0.0,1637,,,15.4
